title,company_name,need_level,need_grade,region,employ_type,rank,pay,section
행복쇼핑 주식회사,"[재택근무] REACT, PHP, PYTHON 개발자 모집",경력3년↑,초대졸↑,양천구,정규직,,,DE
㈜데이터위버,[신입] NLP LLM 연구원,신입,대졸↑,금천구,정규직,사원급,"4,000~4,500만원",DE
㈜비투엔,[비투엔] 데이터 컨설팅 및 구축 사업 포지션별 담당자 채용,경력10년↑,대졸↑,용산구,정규직,,,DE
㈜오픈메이트,"[오픈메이트] 데이터엔지니어, 데이터모델러, DW, ETL 직무 인재 모집(정규)",경력2년↑,학력무관,중구,정규직,,,DE
㈜엠폴,(주)엠폴 AI데이터 사이언티스트 모집합니다.,경력5년↑,학력무관,강서구,정규직,,,DE
㈜비투엔,[비투엔] 솔루션 엔지니어 담당자 채용,신입·경력1년↑,대졸↑,용산구,정규직,사원급,,DE
㈜인포시즈,[경력] Graph Engineer 모집,경력3년↑,석사↑,강남구,정규직,,,DE
㈜인포시즈,[경력] AI Engineer 모집,경력3년↑,석사↑,강남구,정규직,,,DE
㈜씨에스리,[아키텍처팀] JAVA 개발자 모집(Python 연계/SM/SI),경력5년↑,초대졸↑,마포구,정규직,,,DE
㈜인포시즈,[신입/경력무관] AI Engineer 모집,신입,석사↑,강남구,정규직,,,DE
웨이센,이미지/비디오 데이터 검수 및 태깅,경력무관,학력무관,강남구,계약직,,,DE
콘센트릭스서비스코리아(유),데이터엔지니어,경력1년↑,학력무관,강남구,정규직,,,DE
효성ITX㈜,[효성ITX] 챗봇/음성봇 구축 PM(경력),경력무관,대졸↑,영등포구,정규직,,,DE
이지서티,[이지서티] 신입 솔루션 엔지니어,신입,대졸↑,강남구,정규직,,,DE
효성ITX㈜,[효성ITX] 콜 인프라 및 AICC구축 PM(경력),경력무관,대졸↑,영등포구,정규직,,,DE
마크클라우드,"AI 개발(Python), 데이터 분석 및 사업 기획 신규/경력 모집 - 정규직",신입·경력,대졸↑,강남구,정규직,,,DE
